shipment_id,ship_date,region,transport_mode,distance_km,shipment_volume_kg,delivery_time_hours,sla_hours,on_time,transport_cost_usd,customer_satisfaction,month,cost_per_kg
SHP00001,2025-07-11,South,Sea,909.4,1588.8,64.35,50,False,264.67,3.45,2025-07,0.167
SHP00002,2025-05-11,Central,Rail,667.7,274.5,18.72,30,True,379.74,4.36,2025-05,1.383
SHP00003,2025-09-21,Central,Rail,564.0,392.7,26.41,30,True,302.66,3.53,2025-09,0.771
SHP00004,2025-08-03,North,Sea,986.0,134.5,89.37,50,False,265.35,2.37,2025-08,1.973
SHP00005,2025-10-28,East,Sea,836.9,730.2,44.64,50,True,213.51,3.37,2025-10,0.292
SHP00006,2025-05-15,North,Sea,453.1,699.6,50.31,50,False,125.25,3.53,2025-05,0.179
SHP00007,2025-05-11,Central,Road,347.3,201.8,29.93,24,False,266.53,3.79,2025-05,1.321
SHP00008,2025-02-21,West,Rail,647.7,1649.4,18.97,30,True,408.56,4.21,2025-02,0.248
SHP00009,2025-05-14,East,Rail,768.0,159.9,40.34,30,False,377.06,3.53,2025-05,2.358
SHP00010,2025-05-01,East,Road,630.3,334.0,16.87,24,True,616.55,3.58,2025-05,1.846
SHP00011,2025-04-06,West,Sea,661.8,326.6,28.74,50,True,172.98,4.67,2025-04,0.53
SHP00012,2025-12-09,East,Road,392.8,393.6,27.27,24,False,363.45,3.63,2025-12,0.923
SHP00013,2025-04-08,South,Sea,481.1,276.1,51.64,50,False,120.3,4.33,2025-04,0.436
SHP00014,2025-12-18,West,Road,224.4,242.3,27.87,24,False,183.31,3.44,2025-12,0.757
SHP00015,2025-09-20,North,Sea,818.8,43.7,63.89,50,False,236.87,3.4,2025-09,5.42
SHP00016,2025-05-11,West,Sea,1250.5,3964.9,69.44,50,False,476.45,2.57,2025-05,0.12
SHP00017,2025-06-10,Central,Road,600.2,2017.7,15.95,24,True,607.92,4.3,2025-06,0.301
SHP00018,2025-01-22,North,Road,307.8,148.2,17.95,24,True,332.7,4.23,2025-01,2.245
SHP00019,2025-11-13,South,Sea,1011.5,325.2,75.02,50,False,233.09,2.78,2025-11,0.717
SHP00020,2025-04-05,East,Rail,656.0,478.9,27.54,30,True,393.37,2.88,2025-04,0.821
SHP00021,2025-12-26,Central,Sea,409.0,103.2,15.63,50,True,106.82,5.0,2025-12,1.035
SHP00022,2025-02-08,North,Road,202.9,1409.0,9.17,24,True,232.42,4.45,2025-02,0.165
SHP00023,2025-05-22,South,Sea,770.6,508.5,118.34,50,False,230.04,1.73,2025-05,0.452
SHP00024,2025-12-08,Central,Road,256.7,326.0,9.91,24,True,254.04,3.95,2025-12,0.779
SHP00025,2025-12-16,South,Road,473.9,74.3,20.06,24,True,470.26,3.92,2025-12,6.329
SHP00026,2025-05-09,East,Rail,179.1,477.1,16.92,30,True,117.4,4.92,2025-05,0.246
