shipment_id,order_date,origin_city,destination_city,carrier,distance_km,weight_kg,delivery_time_days,shipping_cost_inr,status,cost_per_km,order_month,is_delayed,distance_km_minmax,weight_kg_minmax,shipping_cost_inr_minmax,delivery_time_days_minmax,distance_km_zscore,weight_kg_zscore,shipping_cost_inr_zscore,delivery_time_days_zscore
SHP10920,2024-03-20,Kolkata,Ahmedabad,Blue Dart,485.28,3.61,1.49,2073.74,Delivered,4.27,3,0,0.3272,0.0833,0.2646,0.1631,-0.5613,-1.2072,-0.8751,-0.8048
SHP10619,2024-03-08,Ahmedabad,Mumbai,DHL,1041.5,7.19,4.31,5600.15,Delayed,5.38,3,1,0.7141,0.1735,0.7449,0.6275,1.3151,-0.8509,1.4576,1.2592
SHP10293,2024-02-11,Delhi,Chennai,Blue Dart,776.49,12.39,2.44,4742.85,Delivered,6.11,2,0,0.5298,0.3044,0.6281,0.3195,0.4211,-0.3334,0.8905,-0.1095
SHP10507,2024-04-30,Hyderabad,Chennai,Blue Dart,720.39,2.73,2.07,3095.49,Delivered,4.3,4,0,0.4907,0.0612,0.4038,0.2586,0.2318,-1.2948,-0.1992,-0.3803
SHP10975,2024-07-10,Bengaluru,Delhi,UPS,482.15,8.3,0.8,2304.69,Delayed,4.78,7,1,0.325,0.2014,0.2961,0.0494,-0.5719,-0.7405,-0.7223,-1.3098
SHP10248,2024-11-17,Pune,Hyderabad,Delhivery,880.69,23.71,4.06,5571.99,In Transit,6.33,11,0,0.6023,0.5894,0.741,0.5864,0.7726,0.7931,1.439,1.0762
SHP10772,2024-05-09,Hyderabad,Delhi,Delhivery,748.8,6.45,1.31,3786.42,Returned,5.06,5,1,0.5105,0.1548,0.4979,0.1334,0.3277,-0.9246,0.2578,-0.9365
SHP10915,2024-03-03,Bengaluru,Kolkata,DHL,679.26,11.5,3.14,3837.28,Delivered,5.65,3,0,0.4621,0.282,0.5048,0.4348,0.0931,-0.422,0.2915,0.4029
SHP10329,2024-07-30,Bengaluru,Mumbai,DHL,795.54,17.12,4.05,3982.12,Delivered,5.01,7,0,0.543,0.4235,0.5245,0.5847,0.4854,0.1373,0.3873,1.0689
SHP10049,2024-01-16,Ahmedabad,Pune,Blue Dart,677.46,20.28,1.93,3361.1,Delivered,4.96,1,0,0.4609,0.5031,0.44,0.2355,0.087,0.4518,-0.0235,-0.4827
SHP10459,2024-07-27,Ahmedabad,Bengaluru,DHL,922.58,16.56,3.68,4497.01,Delivered,4.87,7,0,0.6314,0.4094,0.5947,0.5238,0.9139,0.0816,0.7279,0.7981
SHP10142,2024-02-24,Ahmedabad,Delhi,FedEx,595.25,20.2,2.06,2533.19,Delivered,4.26,2,0,0.4037,0.5011,0.3272,0.2569,-0.1903,0.4438,-0.5712,-0.3876
SHP10382,2024-03-01,Chennai,Pune,Blue Dart,927.41,18.49,3.27,4528.31,In Transit,4.88,3,0,0.6348,0.458,0.5989,0.4562,0.9302,0.2736,0.7486,0.498
SHP10250,2024-07-15,Bengaluru,Pune,DHL,848.58,13.5,3.72,5187.55,In Transit,6.11,7,0,0.5799,0.3324,0.6887,0.5304,0.6643,-0.223,1.1847,0.8274
SHP10537,2024-05-14,Delhi,Pune,FedEx,420.08,6.6,3.19,2066.56,Delivered,4.92,5,0,0.2818,0.1586,0.2637,0.4431,-0.7813,-0.9096,-0.8798,0.4395
SHP10133,2024-01-25,Jaipur,Bengaluru,Delhivery,15.0,10.06,0.5,209.56,Delayed,13.97,1,1,0.0,0.2457,0.0108,0.0,-2.1479,-0.5653,-2.1082,-1.5293
SHP10104,2024-04-22,Nagpur,Bengaluru,Delhivery,751.96,16.87,0.9,4746.37,Delivered,6.31,4,0,0.5127,0.4172,0.6286,0.0659,0.3383,0.1124,0.8928,-1.2366
SHP10006,2024-10-04,Ahmedabad,Kolkata,FedEx,549.53,15.09,2.99,2215.39,Delivered,4.03,10,0,0.3719,0.3724,0.2839,0.4101,-0.3446,-0.0647,-0.7814,0.2931
SHP10886,2024-11-04,Pune,Bengaluru,Blue Dart,506.03,13.91,1.33,3087.15,Delayed,6.1,11,1,0.3416,0.3427,0.4027,0.1367,-0.4913,-0.1822,-0.2047,-0.9219
SHP10509,2024-08-25,Nagpur,Bengaluru,DHL,336.99,9.4,1.18,1840.58,Delivered,5.46,8,0,0.224,0.2291,0.2329,0.112,-1.0616,-0.631,-1.0293,-1.0316
