shipment_id,order_date,origin_city,destination_city,carrier,distance_km,weight_kg,delivery_time_days,shipping_cost_inr,status
SHP10920,03-20-2024,Kolkata,Ahmedabad,Blue Dart,485.28,3.61,1.49,2073.74,Delivered
SHP10619,2024-03-08,Ahmedabad,Mumbai,DHL,1041.5,7.19,4.31,5600.15,Delayed
SHP10293,2024-02-11,Delhi,Chennai,blue dart,776.49,12.39,2.44,4742.85,Delivered
SHP10507,30/04/2024,Hyderabad,Chennai,blue dart,720.39,2.73,2.07,3095.49,Delivered
SHP10975,2024-07-10,Bengaluru,Delhi,ups,482.15,8.3,0.8,2304.69,Delayed
SHP10248,17/11/2024,Pune,Hyderabad,Delhivery,880.69,23.71,4.06,5571.99,In Transit
SHP10772,05/09/2024,Hyderabad,Delhi,delhivery,748.8,6.45,1.31,3786.42,Returned
SHP10915,03-03-2024,Bengaluru,Kolkata,D.H.L,679.26,11.5,3.14,3837.28,Delivered
SHP10329,2024-07-30,Bengaluru,Mumbai,dhl,795.54,17.12,4.05,3982.12,Delivered
SHP10049,2024-01-16,Ahmedabad,Pune,BlueDart,677.46,20.28,1.93,3361.1,Delivered
SHP10459,07-27-2024,Ahmedabad,Bengaluru,DHL,922.58,16.56,3.68,4497.01,Delivered
SHP10142,24/02/2024,Ahmedabad,Delhi,FedEx,595.25,20.2,2.06,2533.19,Delivered
SHP10382,03/01/2024,Chennai,Pune,blue dart,927.41,18.49,3.27,4528.31,In Transit
SHP10250,15/07/2024,Bengaluru,Pune,DHL,848.58,13.5,3.72,5187.55,In Transit
SHP10537,05-14-2024,Delhi,Pune,FEDEX,420.08,6.6,3.19,2066.56,Delivered
SHP10133,2024-01-25,Jaipur,Bengaluru,DELHIVERY,15.0,10.06,0.5,209.56,Delayed
SHP10104,22/04/2024,Nagpur,Bengaluru,delhivery,751.96,16.87,0.9,4746.37,Delivered
SHP10006,10/04/2024,Ahmedabad,Kolkata,FEDEX,549.53,15.09,2.99,2215.39,Delivered
SHP10886,2024-11-04,Pune,Bengaluru,blue dart,506.03,13.91,1.33,3087.15,Delayed
SHP10509,2024-08-25,Nagpur,Bengaluru,D.H.L,336.99,9.4,1.18,1840.58,Delivered
SHP10982,2024-12-20,Ahmedabad,Nagpur,FedEx,902.58,4.21,4.45,3785.06,Delivered
SHP10574,2024-05-14,Kolkata,Bengaluru,BlueDart,735.86,26.59,2.76,4459.95,Delayed
SHP10434,06/04/2024,Nagpur,Kolkata,DHL,15.0,23.39,1.75,378.72,In Transit
SHP10027,22/08/2024,Ahmedabad,Bengaluru,blue dart,755.53,13.89,3.34,3175.39,Delivered
SHP10998,2024-10-24,Jaipur,Hyderabad,Fed Ex,719.37,21.66,1.08,3502.15,Delivered
SHP10119,27/02/2024,Chennai,Mumbai,Blue Dart,540.93,,1.17,3022.05,Delivered
SHP10108,02-19-2024,Chennai,Pune,U.P.S.,603.89,34.69,1.77,2646.83,Delayed
SHP10769,2024-12-25,Mumbai,Hyderabad,ups,523.96,12.88,1.01,3034.09,Delivered
SHP10837,10-21-2024,Bengaluru,Kolkata,fedex,547.35,21.47,4.94,3361.08,Delivered
SHP10846,09-20-2024,Jaipur,Hyderabad,blue dart,1275.08,14.31,5.97,6989.66,In Transit
SHP10986,2024-05-24,Pune,Mumbai,blue dart,1105.73,22.28,6.12,6457.19,Delivered
